epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1065.67,1.10647,2.83805,1.49109,0.56134,0.43133,0.42323,0.28429,1.02604,2.66477,1.45409,0.000275963,0.000275963,0.000275963
2,1904.12,1.10735,2.06861,1.43676,0.61965,0.47692,0.53353,0.3329,1.26096,2.58476,1.5593,0.000546779,0.000546779,0.000546779
3,2723.3,1.12055,1.8148,1.42783,0.50213,0.51498,0.48128,0.32659,1.12618,2.38399,1.47901,0.000810722,0.000810722,0.000810722
4,3537.96,1.10273,1.66565,1.40843,0.55078,0.52086,0.56241,0.39575,1.05605,1.80011,1.41733,0.000802075,0.000802075,0.000802075
5,4375.63,1.08624,1.51675,1.38452,0.57964,0.56726,0.59001,0.40384,1.16076,1.74929,1.48782,0.000791767,0.000791767,0.000791767
6,5194.13,1.05933,1.39024,1.36818,0.5548,0.59299,0.59834,0.42411,1.05983,1.56457,1.40186,0.000781458,0.000781458,0.000781458
7,6013.59,1.01556,1.28446,1.33011,0.50714,0.5609,0.56081,0.3955,1.04615,1.63622,1.40498,0.00077115,0.00077115,0.00077115
8,6832.81,1.01834,1.25399,1.33396,0.52588,0.67965,0.64632,0.47225,0.99043,1.5183,1.34918,0.000760841,0.000760841,0.000760841
9,7653.99,0.99947,1.17583,1.31547,0.65886,0.6766,0.70402,0.51013,0.94196,1.25435,1.31925,0.000750533,0.000750533,0.000750533
10,8482.38,1.00116,1.16692,1.31905,0.62293,0.65424,0.69313,0.50181,0.96342,1.23833,1.37436,0.000740225,0.000740225,0.000740225
11,9302.92,0.9743,1.11205,1.29737,0.69307,0.72584,0.75161,0.55259,0.94766,1.07397,1.31467,0.000729916,0.000729916,0.000729916
12,10125.7,0.94494,1.0808,1.28494,0.65374,0.69851,0.73554,0.54028,0.8944,1.15311,1.28831,0.000719608,0.000719608,0.000719608
